Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Month,Day,Hour,DayOfWeek
CRIM SEXUAL ASSAULT,RESIDENCE,True,False,833,8.0,13.0,65.0,2002,1,1,0,Tuesday
THEFT,OTHER,False,False,923,9.0,25.0,34.0,2002,4,1,9,Monday
THEFT,RESIDENCE,False,False,1633,16.0,38.0,15.0,2004,8,1,12,Sunday
THEFT,APARTMENT,False,False,732,7.0,17.0,68.0,2004,4,15,12,Thursday
HOMICIDE,YARD,True,False,935,9.0,24.0,25.0,2001,4,4,1,Wednesday
THEFT,RESIDENCE,False,False,211,2.0,4.0,35.0,2003,11,3,9,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1033,10.0,12.0,30.0,2003,5,11,15,Sunday
SEX OFFENSE,APARTMENT,False,False,512,5.0,9.0,49.0,2002,1,1,20,Tuesday
THEFT,RESIDENCE,False,False,1712,17.0,40.0,13.0,2002,5,1,0,Wednesday
HOMICIDE,HOUSE,True,False,812,8.0,23.0,64.0,2001,4,3,9,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,2524,25.0,30.0,22.0,2001,12,19,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,912,9.0,12.0,58.0,2001,1,1,0,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,915,9.0,20.0,61.0,2001,1,1,8,Monday
SEX OFFENSE,APARTMENT,False,False,922,9.0,11.0,59.0,2001,6,1,22,Friday
THEFT,RESIDENCE,False,False,925,9.0,11.0,60.0,2002,4,2,12,Tuesday
THEFT,RESIDENCE,False,False,423,4.0,7.0,46.0,2004,4,4,12,Sunday
ROBBERY,SIDEWALK,False,False,1411,14.0,35.0,22.0,2001,4,6,23,Friday
DECEPTIVE PRACTICE,DEPARTMENT STORE,False,False,124,1.0,42.0,32.0,2002,10,3,13,Thursday
DECEPTIVE PRACTICE,OTHER,False,False,833,8.0,13.0,65.0,2004,11,1,9,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,834,8.0,18.0,70.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,1414,14.0,35.0,22.0,2004,3,1,0,Monday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,912,9.0,14.0,58.0,2003,5,27,0,Tuesday
HOMICIDE,AUTO,True,False,2512,25.0,37.0,19.0,2001,4,5,22,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,915,9.0,16.0,61.0,2002,1,28,0,Monday
THEFT,RESIDENCE,False,False,2213,22.0,21.0,73.0,2002,4,20,12,Saturday
THEFT,RESIDENCE,False,False,614,6.0,18.0,71.0,2001,4,20,12,Friday
THEFT,APARTMENT,False,False,624,6.0,6.0,69.0,2001,4,21,9,Saturday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,825,8.0,15.0,66.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,1431,14.0,1.0,22.0,2003,12,16,9,Tuesday
THEFT,APARTMENT,False,False,1213,12.0,27.0,28.0,2004,2,24,9,Tuesday
HOMICIDE,PORCH,False,False,512,5.0,9.0,49.0,2001,4,6,2,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,2512,25.0,29.0,19.0,2002,7,1,0,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1024,10.0,22.0,30.0,2003,1,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,911,9.0,14.0,63.0,2004,7,16,0,Friday
HOMICIDE,AUTO,False,False,1031,10.0,22.0,30.0,2001,4,6,8,Friday
CRIM SEXUAL ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,False,1011,10.0,24.0,29.0,2001,2,1,18,Thursday
THEFT,OTHER,False,False,1911,19.0,47.0,4.0,2004,9,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,512,5.0,9.0,49.0,2002,1,1,0,Tuesday
SEX OFFENSE,APARTMENT,False,True,1024,10.0,24.0,29.0,2003,7,1,22,Tuesday
HOMICIDE,APARTMENT,True,True,1513,15.0,29.0,25.0,2001,4,7,20,Saturday
THEFT,OTHER,False,False,233,2.0,20.0,40.0,2003,3,7,13,Friday
OTHER OFFENSE,APARTMENT,False,False,1411,14.0,35.0,22.0,2003,1,3,15,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,912,9.0,12.0,58.0,2003,1,1,12,Wednesday
THEFT,COMMERCIAL / BUSINESS OFFICE,True,False,111,1.0,2.0,32.0,2002,10,11,9,Friday
HOMICIDE,AUTO,False,False,1121,11.0,27.0,23.0,2001,4,8,19,Sunday
THEFT,RESIDENCE,False,False,1413,14.0,26.0,22.0,2003,1,1,0,Wednesday
THEFT,RESIDENCE,False,False,2011,20.0,40.0,4.0,2003,12,19,0,Friday
THEFT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,True,False,1651,16.0,41.0,76.0,2001,1,1,12,Monday
HOMICIDE,CHA APARTMENT,True,False,1822,18.0,27.0,8.0,2001,4,3,3,Tuesday
THEFT,RESIDENCE,False,False,413,4.0,8.0,48.0,2002,1,2,10,Wednesday
THEFT,RESIDENCE,False,False,1113,11.0,28.0,25.0,2004,1,1,8,Thursday
THEFT,RESIDENCE,False,False,726,7.0,15.0,67.0,2001,8,1,14,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1511,15.0,29.0,25.0,2003,1,1,0,Wednesday
HOMICIDE,ALLEY,True,False,2222,22.0,21.0,73.0,2001,4,10,13,Tuesday
DECEPTIVE PRACTICE,"SCHOOL, PRIVATE, BUILDING",False,False,122,1.0,42.0,32.0,2003,8,14,0,Thursday
THEFT,APARTMENT,False,False,421,4.0,7.0,43.0,2003,5,26,10,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2213,22.0,19.0,72.0,2002,1,1,0,Tuesday
THEFT,RESIDENCE,False,False,412,4.0,8.0,45.0,2002,7,8,9,Monday
HOMICIDE,STREET,False,False,224,2.0,24.0,25.0,2001,4,11,9,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,True,False,2515,25.0,37.0,19.0,2004,1,1,8,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1135,11.0,2.0,27.0,2004,1,1,0,Thursday
HOMICIDE,CAR WASH,True,False,1115,11.0,28.0,26.0,2001,4,11,2,Wednesday
THEFT,OTHER,False,False,2535,25.0,26.0,22.0,2001,1,1,0,Monday
THEFT,RESIDENCE,False,False,2213,22.0,19.0,72.0,2003,6,13,0,Friday
THEFT,RESIDENCE,False,False,1531,15.0,37.0,25.0,2004,10,1,9,Friday
THEFT,RESIDENCE,False,False,1611,16.0,41.0,10.0,2003,5,7,12,Wednesday
THEFT,RESIDENCE,False,False,2534,25.0,30.0,23.0,2001,1,1,0,Monday
HOMICIDE,STREET,True,False,2521,25.0,31.0,19.0,2001,4,11,21,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,2232,22.0,9.0,73.0,2002,1,1,15,Tuesday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,1723,17.0,39.0,14.0,2003,6,5,17,Thursday
THEFT,RESIDENCE,False,False,2422,24.0,49.0,1.0,2002,11,15,12,Friday
THEFT,STREET,False,False,423,4.0,10.0,46.0,2004,9,1,0,Wednesday
SEX OFFENSE,RESIDENCE,False,False,815,8.0,23.0,62.0,2003,4,1,0,Tuesday
HOMICIDE,PORCH,True,False,424,4.0,10.0,46.0,2001,4,12,0,Thursday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,1111,11.0,37.0,25.0,2004,1,1,21,Thursday
THEFT,OTHER,False,False,823,8.0,15.0,66.0,2003,1,1,7,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,532,5.0,9.0,53.0,2002,1,1,21,Tuesday
THEFT,RESIDENCE,False,False,1131,11.0,24.0,26.0,2002,10,20,9,Sunday
THEFT,OTHER,False,False,914,9.0,12.0,61.0,2004,7,1,0,Thursday
HOMICIDE,STREET,False,False,711,7.0,24.0,25.0,2001,4,12,21,Thursday
DECEPTIVE PRACTICE,BANK,False,False,1822,18.0,27.0,8.0,2003,1,10,15,Friday
THEFT,RESIDENCE,False,False,533,5.0,9.0,54.0,2003,2,28,0,Friday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,1111,11.0,37.0,23.0,2002,10,1,0,Tuesday
BATTERY,APARTMENT,True,True,1121,11.0,27.0,23.0,2004,1,20,3,Tuesday
BURGLARY,WAREHOUSE,False,False,1731,17.0,38.0,16.0,2004,5,23,0,Sunday
THEFT,OTHER,False,False,2033,20.0,48.0,3.0,2002,10,10,0,Thursday
SEX OFFENSE,"SCHOOL, PRIVATE, GROUNDS",False,False,2413,24.0,50.0,2.0,2004,1,1,0,Thursday
OTHER OFFENSE,RESIDENCE,False,False,1824,18.0,42.0,8.0,2004,12,23,9,Thursday
HOMICIDE,APARTMENT,False,False,513,5.0,24.0,25.0,2001,4,13,5,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,223,2.0,3.0,38.0,2002,1,1,1,Tuesday
THEFT,RESIDENCE,False,False,1524,15.0,37.0,25.0,2004,1,1,0,Thursday
HOMICIDE,STREET,False,False,1433,14.0,1.0,24.0,2001,4,13,10,Friday
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,False,1212,12.0,27.0,28.0,2002,1,15,15,Tuesday
THEFT,RESIDENCE,False,False,2024,20.0,46.0,3.0,2003,12,1,0,Monday
THEFT,APARTMENT,False,False,2433,24.0,48.0,77.0,2001,4,1,0,Sunday
HOMICIDE,PORCH,True,False,432,4.0,10.0,52.0,2001,4,13,22,Friday
CRIM SEXUAL ASSAULT,APARTMENT,False,True,714,7.0,15.0,67.0,2001,1,1,0,Monday
THEFT,APARTMENT,False,False,2411,24.0,50.0,2.0,2001,8,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1723,17.0,33.0,16.0,2003,5,1,0,Thursday
HOMICIDE,APARTMENT,True,True,421,4.0,7.0,43.0,2001,4,13,23,Friday
THEFT,RESIDENCE,False,False,1432,14.0,32.0,22.0,2003,11,1,13,Saturday
THEFT,RESIDENCE,False,False,424,4.0,10.0,46.0,2002,2,1,8,Friday
THEFT,STREET,False,False,2212,22.0,19.0,75.0,2004,9,1,9,Wednesday
THEFT,CHA APARTMENT,False,False,1421,14.0,26.0,23.0,2004,6,2,13,Wednesday
HOMICIDE,CHA PARKING LOT,True,False,1012,10.0,24.0,25.0,2001,4,14,20,Saturday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,414,4.0,8.0,43.0,2003,1,1,0,Wednesday
CRIM SEXUAL ASSAULT,PARK PROPERTY,False,True,1022,10.0,24.0,29.0,2001,6,2,0,Saturday
THEFT,RESIDENCE,False,False,211,2.0,3.0,35.0,2003,7,24,9,Thursday
THEFT,RESIDENCE,False,False,324,3.0,5.0,69.0,2004,12,4,12,Saturday
HOMICIDE,AUTO,True,False,613,6.0,21.0,71.0,2001,4,14,21,Saturday
OTHER OFFENSE,APARTMENT,False,False,1531,15.0,37.0,25.0,2003,4,26,12,Saturday
HOMICIDE,APARTMENT,True,True,614,6.0,21.0,71.0,2001,4,15,5,Sunday
THEFT,APARTMENT,False,False,1213,12.0,2.0,28.0,2003,2,1,9,Saturday
THEFT,RESIDENCE,False,False,1422,14.0,26.0,23.0,2004,1,1,9,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,833,8.0,13.0,65.0,2003,1,1,8,Wednesday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,False,2521,25.0,31.0,19.0,2004,10,23,0,Saturday
THEFT,RESIDENCE,False,False,1523,15.0,29.0,25.0,2004,4,15,8,Thursday
THEFT,RESIDENCE,False,False,1213,12.0,2.0,28.0,2003,10,15,9,Wednesday
HOMICIDE,LOADING DOCK,False,False,2424,24.0,49.0,1.0,2001,4,15,16,Sunday
THEFT,RESIDENCE,False,False,1311,12.0,26.0,24.0,2002,4,13,0,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,915,9.0,20.0,61.0,2004,6,14,0,Monday
THEFT,RESIDENCE,True,False,1733,17.0,33.0,21.0,2004,8,16,1,Monday
HOMICIDE,CHA ELEVATOR,False,False,2112,1.0,4.0,35.0,2001,4,16,0,Monday
THEFT,APARTMENT,False,False,631,6.0,6.0,44.0,2003,1,2,6,Thursday
THEFT,RESIDENCE,False,False,824,8.0,16.0,66.0,2004,9,1,0,Wednesday
THEFT,STREET,False,False,614,6.0,18.0,71.0,2004,12,1,0,Wednesday
THEFT,RESIDENCE,False,False,1933,19.0,43.0,7.0,2004,8,17,8,Tuesday
THEFT,RESIDENCE,False,False,2521,25.0,31.0,19.0,2003,3,15,9,Saturday
HOMICIDE,APARTMENT,True,True,1524,15.0,37.0,25.0,2001,4,16,10,Monday
THEFT,RESIDENCE,False,False,1111,11.0,37.0,23.0,2003,6,1,9,Sunday
THEFT,SMALL RETAIL STORE,False,False,2423,24.0,49.0,1.0,2002,10,31,14,Thursday
CRIM SEXUAL ASSAULT,APARTMENT,False,True,815,8.0,23.0,57.0,2003,2,2,0,Sunday
THEFT,RESIDENCE,False,False,1131,11.0,24.0,26.0,2003,12,29,14,Monday
HOMICIDE,STREET,True,False,312,3.0,24.0,25.0,2001,4,17,2,Tuesday
THEFT,RESIDENCE,False,False,1732,17.0,35.0,16.0,2004,11,1,0,Monday
THEFT,RESIDENCE,False,False,1123,11.0,28.0,27.0,2001,4,1,0,Sunday
THEFT,SMALL RETAIL STORE,False,False,834,8.0,13.0,70.0,2004,7,30,10,Friday
THEFT,APARTMENT,False,False,1524,15.0,37.0,25.0,2004,10,1,0,Friday
CRIM SEXUAL ASSAULT,APARTMENT,False,True,2522,25.0,30.0,20.0,2001,1,1,9,Monday
HOMICIDE,AUTO,False,False,822,8.0,24.0,25.0,2001,4,17,21,Tuesday
THEFT,RESIDENCE,False,False,212,2.0,4.0,36.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,511,5.0,9.0,49.0,2001,7,1,7,Sunday
SEX OFFENSE,RESIDENCE,False,False,1724,17.0,33.0,16.0,2004,12,25,0,Saturday
THEFT,RESIDENCE,False,False,613,6.0,21.0,71.0,2002,11,9,10,Saturday
HOMICIDE,AUTO,False,False,822,8.0,24.0,25.0,2001,4,18,11,Wednesday
OTHER OFFENSE,OTHER,False,False,1125,11.0,2.0,28.0,2004,11,27,4,Saturday
THEFT,RESIDENCE,False,False,1421,14.0,26.0,22.0,2002,6,1,9,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,822,8.0,14.0,63.0,2004,1,1,20,Thursday
THEFT,RESIDENCE,False,False,822,8.0,14.0,63.0,2004,12,28,0,Tuesday
THEFT,RESIDENCE,False,False,2432,24.0,40.0,1.0,2004,11,13,13,Saturday
HOMICIDE,HOUSE,True,True,613,6.0,21.0,71.0,2001,4,18,19,Wednesday
THEFT,RESIDENCE,False,False,2532,25.0,37.0,25.0,2004,1,1,0,Thursday
HOMICIDE,STREET,True,False,2524,25.0,35.0,22.0,2001,4,18,21,Wednesday
THEFT,RESIDENCE,False,False,2532,25.0,37.0,25.0,2003,11,1,12,Saturday
DECEPTIVE PRACTICE,RESIDENCE,False,False,2423,24.0,49.0,1.0,2004,1,1,8,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,935,9.0,3.0,37.0,2002,1,1,0,Tuesday
HOMICIDE,CHA APARTMENT,True,False,2113,1.0,3.0,35.0,2001,4,19,1,Thursday
THEFT,RESIDENCE,False,False,934,9.0,3.0,61.0,2004,4,21,8,Wednesday
THEFT,APARTMENT,False,False,312,3.0,20.0,69.0,2001,10,1,10,Monday
THEFT,RESIDENCE,False,False,2132,2.0,5.0,41.0,2003,3,1,9,Saturday
THEFT,RESIDENCE,False,False,512,5.0,34.0,49.0,2003,10,23,0,Thursday
THEFT,RESIDENCE,False,False,2423,24.0,49.0,1.0,2003,3,2,0,Sunday
HOMICIDE,AUTO,False,False,1524,15.0,37.0,25.0,2001,4,19,16,Thursday
THEFT,OTHER,False,False,1713,17.0,33.0,14.0,2002,11,17,0,Sunday
MOTOR VEHICLE THEFT,STREET,False,False,2333,19.0,43.0,7.0,2003,10,27,22,Monday
THEFT,RESIDENCE,False,False,2534,25.0,37.0,23.0,2001,1,1,9,Monday
DECEPTIVE PRACTICE,RESIDENCE,False,False,933,9.0,16.0,61.0,2004,8,8,0,Sunday
HOMICIDE,AUTO,True,False,1112,11.0,27.0,23.0,2001,4,19,0,Thursday
THEFT,RESIDENCE,False,False,1632,16.0,36.0,17.0,2003,11,3,9,Monday
THEFT,APARTMENT,False,False,2124,2.0,4.0,39.0,2004,10,12,0,Tuesday
THEFT,RESIDENCE,False,False,835,8.0,18.0,70.0,2002,9,24,15,Tuesday
THEFT,APARTMENT,False,False,1421,14.0,35.0,22.0,2003,6,1,0,Sunday
HOMICIDE,LAKE,False,False,1814,18.0,24.0,25.0,2001,4,17,12,Tuesday
THEFT,RESIDENCE,False,False,1834,18.0,42.0,8.0,2003,6,1,9,Sunday
THEFT,APARTMENT,False,False,915,9.0,16.0,61.0,2001,10,14,12,Sunday
THEFT,RESIDENCE,False,False,524,5.0,34.0,53.0,2004,10,1,12,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,831,8.0,18.0,66.0,2003,8,12,0,Tuesday
THEFT,RESIDENCE,False,False,2522,25.0,31.0,19.0,2002,12,31,10,Tuesday
THEFT,RESIDENCE,False,True,533,5.0,9.0,54.0,2004,9,1,0,Wednesday
SEX OFFENSE,RESIDENCE,False,True,621,6.0,17.0,69.0,2003,6,15,12,Sunday
HOMICIDE,STREET,True,False,1112,11.0,27.0,23.0,2001,4,20,0,Friday
CRIM SEXUAL ASSAULT,RESIDENCE,True,False,2233,22.0,34.0,49.0,2002,1,21,0,Monday
THEFT,APARTMENT,False,False,1324,12.0,27.0,24.0,2004,9,9,9,Thursday
THEFT,APARTMENT,False,False,2122,2.0,4.0,35.0,2001,6,25,12,Monday
SEX OFFENSE,RESIDENCE,False,False,922,9.0,12.0,58.0,2001,10,26,21,Friday
HOMICIDE,AUTO,False,False,233,2.0,20.0,40.0,2001,4,20,7,Friday
OFFENSE INVOLVING CHILDREN,APARTMENT,True,False,2533,25.0,31.0,20.0,2003,11,1,9,Saturday
HOMICIDE,ALLEY,True,False,1413,14.0,26.0,22.0,2001,4,20,21,Friday
SEX OFFENSE,APARTMENT,False,False,1135,11.0,28.0,29.0,2003,6,1,9,Sunday
THEFT,APARTMENT,False,True,1824,18.0,42.0,8.0,2003,1,1,0,Wednesday
THEFT,APARTMENT,False,False,421,4.0,7.0,43.0,2004,4,1,0,Thursday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,True,1624,16.0,45.0,15.0,2002,11,9,12,Saturday
SEX OFFENSE,RESIDENCE,False,False,1732,17.0,35.0,16.0,2003,1,1,0,Wednesday
THEFT,APARTMENT,False,False,1013,10.0,22.0,30.0,2003,5,1,0,Thursday
THEFT,RESIDENCE,False,False,424,4.0,10.0,46.0,2004,11,1,12,Monday
HOMICIDE,TAVERN,False,False,922,9.0,11.0,59.0,2001,4,20,23,Friday
THEFT,APARTMENT,False,False,1532,15.0,28.0,25.0,2002,2,1,0,Friday
THEFT,APARTMENT,False,False,533,5.0,9.0,54.0,2003,8,20,8,Wednesday
THEFT,RESIDENCE,False,False,925,9.0,11.0,60.0,2003,2,1,8,Saturday
SEX OFFENSE,APARTMENT,True,True,911,9.0,12.0,58.0,2002,1,1,10,Tuesday
THEFT,OTHER,False,False,524,5.0,34.0,53.0,2004,11,15,8,Monday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1633,16.0,38.0,15.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,2514,25.0,30.0,19.0,2002,1,1,0,Tuesday
HOMICIDE,GAS STATION DRIVE/PROP.,True,False,1031,10.0,22.0,30.0,2001,4,21,4,Saturday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,1024,10.0,24.0,30.0,2002,9,1,0,Sunday
THEFT,RESIDENCE,False,False,323,3.0,6.0,69.0,2004,9,23,16,Thursday
THEFT,RESIDENCE,False,False,323,3.0,6.0,69.0,2004,6,1,0,Tuesday
HOMICIDE,CHA STAIRWELL,True,False,231,2.0,3.0,38.0,2001,4,21,11,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2311,19.0,46.0,3.0,2002,5,31,0,Friday
THEFT,RESIDENCE,False,False,1111,11.0,37.0,23.0,2004,11,1,9,Monday
THEFT,RESIDENCE,False,False,2233,22.0,34.0,49.0,2003,4,1,9,Tuesday
THEFT,RESIDENCE,False,False,1331,12.0,27.0,27.0,2001,1,1,0,Monday
HOMICIDE,PORCH,False,False,1422,14.0,26.0,23.0,2001,4,22,0,Sunday
DECEPTIVE PRACTICE,RESIDENCE,False,False,914,9.0,12.0,58.0,2004,4,16,12,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,824,8.0,14.0,63.0,2004,12,1,1,Wednesday
THEFT,APARTMENT,False,False,724,7.0,17.0,68.0,2004,1,1,0,Thursday
THEFT,APARTMENT,False,False,1024,10.0,24.0,29.0,2004,12,12,9,Sunday
HOMICIDE,AUTO,True,False,2522,25.0,31.0,20.0,2001,4,22,3,Sunday
SEX OFFENSE,RESIDENCE,True,False,1024,10.0,24.0,29.0,2004,5,15,12,Saturday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,1033,10.0,12.0,30.0,2004,12,11,12,Saturday
SEX OFFENSE,RESIDENCE,False,False,411,4.0,8.0,45.0,2004,1,1,1,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,1622,16.0,45.0,11.0,2001,6,14,0,Thursday
SEX OFFENSE,RESIDENCE,False,True,1024,10.0,22.0,30.0,2004,7,10,0,Saturday
HOMICIDE,STREET,False,False,2534,25.0,37.0,23.0,2001,4,22,18,Sunday
THEFT,RESIDENCE,False,False,2531,25.0,29.0,25.0,2004,8,1,0,Sunday
THEFT,RESIDENCE,False,True,734,7.0,17.0,67.0,2003,9,18,8,Thursday
SEX OFFENSE,MEDICAL/DENTAL OFFICE,True,False,1633,16.0,38.0,15.0,2003,12,18,14,Thursday
HOMICIDE,RAILROAD PROPERTY,True,False,1125,11.0,24.0,25.0,2001,4,23,3,Monday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,1112,11.0,27.0,23.0,2004,5,1,8,Saturday
SEX OFFENSE,APARTMENT,False,False,2534,25.0,27.0,23.0,2001,10,5,21,Friday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,314,3.0,5.0,42.0,2004,1,1,0,Thursday
THEFT,OTHER,False,False,1031,10.0,22.0,30.0,2004,12,27,12,Monday
THEFT,RESIDENCE,False,False,1031,10.0,22.0,30.0,2004,6,4,9,Friday
HOMICIDE,APARTMENT,True,False,423,4.0,10.0,46.0,2001,4,23,23,Monday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,False,835,8.0,18.0,70.0,2004,1,1,0,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,1024,10.0,24.0,29.0,2001,10,1,22,Monday
THEFT,OTHER,False,False,2523,25.0,31.0,21.0,2002,1,1,0,Tuesday
THEFT,APARTMENT,False,False,523,5.0,34.0,53.0,2002,4,30,8,Tuesday
THEFT,OTHER,False,False,924,9.0,11.0,60.0,2003,1,1,8,Wednesday
THEFT,OTHER,False,False,313,3.0,20.0,42.0,2004,1,1,12,Thursday
THEFT,APARTMENT,False,False,321,3.0,20.0,42.0,2004,6,8,9,Tuesday
HOMICIDE,APARTMENT,True,True,314,3.0,20.0,42.0,2001,4,22,22,Sunday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,2512,25.0,36.0,18.0,2004,1,1,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,833,8.0,13.0,64.0,2002,1,1,0,Tuesday
THEFT,RESIDENCE,False,False,1223,12.0,25.0,31.0,2004,1,1,0,Thursday
THEFT,RESIDENCE,False,False,912,9.0,14.0,58.0,2004,1,1,8,Thursday
THEFT,RESIDENCE,False,False,733,7.0,17.0,68.0,2004,8,2,10,Monday
HOMICIDE,STREET,False,False,1135,11.0,2.0,27.0,2001,4,23,8,Monday
THEFT,OTHER,False,False,913,9.0,12.0,58.0,2003,1,1,16,Wednesday
HOMICIDE,STREET,True,False,1532,15.0,28.0,25.0,2001,4,24,22,Tuesday
CRIM SEXUAL ASSAULT,APARTMENT,False,False,1132,11.0,24.0,29.0,2004,1,1,0,Thursday
THEFT,APARTMENT,False,False,934,9.0,3.0,61.0,2004,1,1,0,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1412,14.0,35.0,21.0,2002,5,1,21,Wednesday
HOMICIDE,PORCH,True,False,1224,12.0,24.0,25.0,2001,4,25,3,Wednesday
SEX OFFENSE,RESIDENCE,True,False,831,8.0,15.0,66.0,2002,6,1,19,Saturday
OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,False,False,111,1.0,2.0,28.0,2004,12,1,11,Wednesday
CRIM SEXUAL ASSAULT,APARTMENT,False,True,935,9.0,11.0,61.0,2001,6,25,0,Monday
THEFT,APARTMENT,False,False,331,3.0,5.0,43.0,2004,9,4,12,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1511,15.0,29.0,25.0,2003,1,1,1,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1524,15.0,28.0,25.0,2004,1,1,1,Thursday
THEFT,RESIDENCE,False,False,833,8.0,13.0,65.0,2002,4,19,13,Friday
HOMICIDE,PARKING LOT,True,False,1412,14.0,35.0,21.0,2001,4,25,9,Wednesday
THEFT,RESIDENCE,False,False,911,9.0,14.0,63.0,2003,11,1,0,Saturday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,2514,25.0,30.0,19.0,2001,1,1,0,Monday
THEFT,APARTMENT,False,False,234,2.0,20.0,40.0,2002,12,2,9,Monday
OFFENSE INVOLVING CHILDREN,APARTMENT,False,False,2012,20.0,40.0,4.0,2001,1,10,0,Wednesday
THEFT,RESIDENCE,False,False,1124,11.0,2.0,27.0,2001,2,19,0,Monday
CRIM SEXUAL ASSAULT,CHA APARTMENT,True,False,1332,12.0,2.0,28.0,2004,6,1,0,Tuesday
THEFT,BANK,False,False,1224,12.0,2.0,28.0,2004,1,9,9,Friday
HOMICIDE,CLUB,True,False,1115,11.0,28.0,26.0,2001,4,25,20,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,723,7.0,16.0,68.0,2004,6,15,12,Tuesday
THEFT,CTA GARAGE / OTHER PROPERTY,False,False,1134,11.0,28.0,27.0,2003,1,1,8,Wednesday
THEFT,APARTMENT,False,False,713,7.0,16.0,67.0,2002,1,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1233,12.0,25.0,31.0,2001,6,1,0,Friday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1422,14.0,35.0,22.0,2001,2,18,19,Sunday
BATTERY,RESIDENCE,False,True,513,5.0,34.0,49.0,2004,1,16,16,Friday
SEX OFFENSE,RESIDENCE,False,True,1024,10.0,22.0,30.0,2003,1,11,0,Saturday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,914,9.0,20.0,61.0,2002,5,1,0,Wednesday
HOMICIDE,PORCH,True,False,2222,22.0,21.0,73.0,2001,4,27,16,Friday
THEFT,RESIDENCE,False,False,2411,24.0,50.0,2.0,2004,7,1,7,Thursday
