Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year,Month,Day,Hour,DayOfWeek
MOTOR VEHICLE THEFT,STREET,False,False,725,7.0,16.0,67.0,2004,2,18,18,Wednesday
MOTOR VEHICLE THEFT,STREET,False,False,711,7.0,20.0,68.0,2004,9,2,9,Thursday
MOTOR VEHICLE THEFT,STREET,False,False,734,7.0,17.0,67.0,2004,11,13,3,Saturday
THEFT,RESIDENCE,False,True,323,3.0,6.0,69.0,2003,3,15,9,Saturday
OTHER OFFENSE,RESIDENCE,False,False,1012,10.0,24.0,29.0,2003,12,29,12,Monday
THEFT,RESIDENCE,False,False,922,9.0,11.0,60.0,2003,2,11,8,Tuesday
CRIM SEXUAL ASSAULT,DAY CARE CENTER,False,False,1524,15.0,37.0,25.0,2003,1,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,APARTMENT,True,True,1133,11.0,24.0,26.0,2004,9,1,0,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,1413,14.0,26.0,22.0,2002,1,1,0,Tuesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,912,9.0,14.0,58.0,2003,1,1,0,Wednesday
THEFT,RESTAURANT,False,False,1812,18.0,43.0,7.0,2004,1,1,0,Thursday
CRIM SEXUAL ASSAULT,RESIDENCE,True,False,2233,22.0,34.0,49.0,2001,1,1,0,Monday
THEFT,RESIDENCE,False,False,631,6.0,6.0,44.0,2001,10,1,8,Monday
DECEPTIVE PRACTICE,RESIDENCE,False,False,1322,12.0,32.0,24.0,2001,11,9,9,Friday
THEFT,RESIDENCE,False,False,2211,22.0,19.0,74.0,2001,5,30,15,Wednesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,934,9.0,16.0,61.0,2004,5,31,0,Monday
THEFT,RESIDENCE,False,False,1532,15.0,28.0,25.0,2001,6,1,12,Friday
THEFT,RESIDENCE,False,False,834,8.0,18.0,70.0,2002,12,1,0,Sunday
DECEPTIVE PRACTICE,COMMERCIAL / BUSINESS OFFICE,False,False,123,1.0,42.0,32.0,2004,8,20,13,Friday
THEFT,RESIDENCE,False,False,2535,25.0,30.0,23.0,2001,1,1,0,Monday
THEFT,RESIDENCE,False,False,733,7.0,17.0,68.0,2004,2,18,12,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,False,433,4.0,10.0,55.0,2003,1,10,11,Friday
THEFT,APARTMENT,False,False,631,6.0,8.0,44.0,2002,4,1,9,Monday
THEFT,RESIDENCE,False,False,924,9.0,11.0,60.0,2004,9,9,9,Thursday
THEFT,RESIDENCE,False,False,1031,10.0,22.0,30.0,2004,10,22,0,Friday
DECEPTIVE PRACTICE,RESIDENCE,True,False,1623,16.0,45.0,11.0,2004,1,15,8,Thursday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,True,1033,10.0,24.0,30.0,2003,6,1,0,Sunday
THEFT,COLLEGE/UNIVERSITY GROUNDS,False,False,123,1.0,42.0,32.0,2004,6,1,12,Tuesday
THEFT,RESIDENCE,False,False,1311,12.0,26.0,24.0,2003,3,1,0,Saturday
THEFT,RESIDENCE,False,False,313,3.0,20.0,42.0,2003,1,1,0,Wednesday
CRIM SEXUAL ASSAULT,RESIDENCE,False,True,421,4.0,7.0,43.0,2004,8,1,0,Sunday
THEFT,APARTMENT,False,False,1012,10.0,24.0,29.0,2001,8,1,12,Wednesday
THEFT,RESIDENCE,False,False,1324,12.0,1.0,24.0,2004,9,1,9,Wednesday
OFFENSE INVOLVING CHILDREN,RESIDENCE,False,False,813,8.0,13.0,64.0,2002,1,1,0,Tuesday
DECEPTIVE PRACTICE,RESIDENCE,False,False,1913,19.0,1.0,5.0,2003,12,29,12,Monday
THEFT,APARTMENT,False,False,324,3.0,5.0,43.0,2004,12,18,18,Saturday
THEFT,RESIDENCE,False,False,313,3.0,20.0,42.0,2003,8,9,10,Saturday
